# Number of draws per sample: 10
0,56.35,11.26
1,59.14,8.90
2,52.96,14.45
3,51.59,7.81
4,55.92,11.60
5,56.36,9.53
6,57.73,11.88
7,54.90,8.90
8,58.29,9.57
9,50.87,14.01
# Number of draws per sample: 100
0,54.13,12.91
1,54.21,12.75
2,55.58,14.88
3,56.13,12.68
4,52.54,12.12
5,55.84,12.62
6,54.17,12.33
7,54.16,13.78
8,57.47,11.82
9,55.24,12.82
# Number of draws per sample: 1000
0,55.02,13.00
1,55.44,12.79
2,54.63,12.76
3,55.54,13.21
4,55.29,12.49
5,55.08,13.08
6,55.05,13.22
7,55.11,13.35
8,55.14,12.36
9,55.29,12.53
# Number of draws per sample: 10000
0,55.04,12.82
1,54.96,13.03
2,54.87,13.24
3,55.03,12.98
4,55.17,13.04
5,54.98,12.99
6,54.94,12.96
7,54.81,12.95
8,55.08,13.08
9,54.83,12.93
# Number of draws per sample: 100000
0,54.98,13.02
1,55.04,13.02
2,55.01,12.99
3,54.98,12.98
4,54.97,12.99
5,55.00,12.98
6,55.02,12.98
7,54.94,13.00
8,54.99,13.00
9,54.98,13.02
# Number of draws per sample: 1000000
0,54.98,13.01
1,54.97,13.01
2,54.99,12.98
3,55.01,13.00
4,55.00,13.00
5,54.99,13.01
6,55.00,13.00
7,54.99,13.01
8,54.98,13.00
9,55.02,12.99

# Sample size Std. dev. of mean
10 2.8107430808714384
100 1.3854967019488398
1000 0.2535284336453529
10000 0.11396393191610166
100000 0.02806737924669551
1000000 0.014944341180974305
